,Akkadian,Assyrian,Hebrew,Maltese,Arabic,Bambara,Yoruba,Wolof,Basque,Albanian,Armenian,Western Armenian,Latvian,Lithuanian,Breton,Scottish Gaelic,Irish,Manx,Welsh,Afrikaans,Danish,Dutch,English,Faroese,Gothic,Icelandic,Low Saxon,Norwegian,German,Swedish,Greek,Ancient Greek,Bhojpuri,Hindi,Marathi,Sanskrit,Urdu,Kurmanji,Persian,Catalan,French,Galician,Italian,Latin,Portuguese,Romanian,Spanish,Belarusian,Bulgarian,Croatian,Czech,Old Church Slavonic,Polish,Russian,Serbian,Slovak,Slovenian,Ukrainian,Upper Sorbian,Estonian,Finnish,Karelian,Erzya,Moksha,Komi Permyak,Komi Zyrian,Skolt Sami,Hungarian,Kazakh,Old Turkish,Turkish,Uyghur,Japanese,Korean,Telugu,Tamil,Cantonese,Chinese,Classical Chinese,Thai,Vietnamese,Tagalog,Indonesian,Warlpiri,Kiche,Apurina,Munduruku,Guajajara,Tupinamba,Kaapor
Manx,100.3,101.24,101.92,101.46,101.15,97.14,99.38,98.04,99.03,95.75,95.94,95.52,99.67,98.16,93.14,80.56,74.0,,93.7,94.21,97.98,95.56,97.21,101.6,97.48,100.87,96.06,100.9,96.61,98.15,97.68,96.99,93.05,96.07,98.53,99.5,97.38,93.59,97.45,93.23,95.22,94.0,97.63,95.52,97.2,96.37,96.97,94.96,95.91,95.27,96.29,95.84,97.71,98.01,97.69,96.13,95.74,94.78,98.48,98.5,100.08,99.19,99.62,98.94,99.48,99.95,97.23,99.83,95.84,99.11,97.64,97.43,101.29,98.94,102.69,98.79,100.26,101.4,101.31,97.87,98.31,99.22,100.43,102.21,101.04,98.05,95.68,95.01,95.04,96.4
Welsh,92.76,96.49,96.41,99.54,100.25,99.82,100.63,102.35,98.04,98.84,97.77,95.51,96.16,94.64,57.4,93.78,90.2,93.7,,93.26,94.47,93.12,91.53,93.43,93.57,95.77,95.68,92.51,96.26,94.04,95.2,92.06,98.02,94.28,96.37,100.45,94.09,97.89,97.71,90.3,89.7,87.61,87.83,87.56,93.21,86.76,92.44,90.68,91.48,91.53,91.0,92.49,95.3,93.26,92.33,92.74,92.47,94.71,91.11,94.78,96.75,93.84,98.11,96.37,99.18,98.73,92.87,98.02,99.85,100.77,97.62,99.64,100.37,97.86,97.79,93.7,99.32,100.69,98.61,104.73,95.87,99.4,96.92,100.37,99.96,98.45,95.7,100.39,101.0,100.72
Afrikaans,99.59,98.27,99.8,101.23,99.64,99.77,99.63,102.04,100.79,99.12,95.2,98.05,96.45,94.18,94.19,99.28,97.83,94.21,93.26,,71.05,34.1,59.39,71.05,67.12,75.45,47.38,66.11,59.5,71.85,95.72,90.9,93.33,92.49,94.21,92.06,91.22,93.35,93.6,92.35,90.9,87.13,89.65,90.19,96.2,89.87,89.64,92.32,90.5,91.83,92.73,93.65,92.62,92.23,91.93,93.24,91.83,94.35,93.33,98.96,97.42,97.65,103.68,101.35,96.99,96.99,97.48,99.3,98.42,99.11,101.64,98.48,102.1,101.39,102.23,94.86,101.62,100.25,100.91,98.74,100.66,99.32,102.41,101.06,100.28,101.73,101.82,103.13,99.9,100.52
Danish,99.19,99.79,96.9,100.03,98.53,98.5,100.93,101.28,102.96,95.13,93.92,96.49,95.69,95.92,90.97,96.32,96.06,97.98,94.47,71.05,,66.68,68.05,68.29,74.23,66.13,61.48,47.34,67.52,52.43,98.29,99.18,91.43,91.98,93.08,94.79,93.07,98.06,96.82,89.42,94.15,91.26,90.39,91.09,94.85,89.8,92.49,92.38,95.0,90.52,94.36,96.62,97.12,94.83,91.3,95.21,91.7,94.99,97.75,101.89,101.88,99.23,98.47,100.6,95.63,97.83,100.13,98.53,99.66,99.75,101.94,99.21,103.55,101.47,98.81,101.24,100.88,101.56,101.48,100.35,101.31,99.91,100.57,98.68,98.09,99.64,102.82,100.86,100.02,99.11
Dutch,98.77,97.2,98.63,99.82,100.11,101.36,101.46,103.13,101.57,98.89,95.48,99.06,96.05,93.83,90.42,99.13,100.24,95.56,93.12,34.1,66.68,,61.13,70.81,68.73,72.94,38.66,62.6,48.83,68.1,96.12,90.37,93.16,91.22,92.42,91.61,92.46,90.39,92.37,89.69,92.96,90.2,87.38,89.89,96.56,87.24,91.82,92.85,92.33,90.57,93.29,92.39,94.71,92.87,90.78,92.45,90.84,94.26,93.8,100.02,101.44,100.17,103.83,102.23,98.11,100.11,100.53,98.33,100.27,99.3,101.96,98.88,101.93,99.45,103.79,96.92,100.12,100.14,96.86,96.95,100.55,100.03,101.46,101.42,98.26,103.39,100.95,100.35,97.51,98.95
English,99.93,99.43,96.88,101.56,97.76,101.23,99.36,99.25,101.42,96.56,97.09,99.28,96.68,95.53,90.48,96.66,96.44,97.21,91.53,59.39,68.05,61.13,,66.71,72.11,76.79,56.97,62.03,67.33,64.26,96.26,96.73,96.28,96.06,95.05,93.81,95.03,93.06,95.34,87.09,91.35,89.66,89.88,88.79,96.16,87.74,94.14,91.4,90.65,87.09,90.78,93.78,95.46,93.1,87.39,91.38,89.87,96.54,94.39,101.12,104.04,104.36,101.28,99.29,100.88,101.08,99.6,96.19,99.4,96.36,101.07,96.7,98.34,98.83,101.69,100.59,98.99,102.3,102.2,98.97,103.1,102.73,100.24,98.87,100.87,103.17,99.69,100.31,100.85,98.0
Faroese,100.27,99.34,99.54,100.16,99.28,101.36,101.82,100.13,101.5,95.78,99.06,99.67,95.22,97.89,90.56,99.41,97.44,101.6,93.43,71.05,68.29,70.81,66.71,,75.47,61.25,70.95,60.55,74.06,67.92,100.36,96.36,94.81,96.17,96.74,93.82,94.61,97.78,97.92,94.76,91.61,89.15,93.26,89.11,93.17,92.2,90.06,88.93,90.1,93.08,93.38,94.48,96.99,93.98,92.17,94.09,90.94,93.5,97.16,101.66,102.26,101.06,98.51,100.83,95.53,97.25,100.36,98.19,98.21,98.97,100.04,99.15,100.61,97.96,102.27,96.57,100.03,99.9,99.83,100.4,100.18,102.85,101.06,98.68,101.92,100.26,101.49,100.23,101.42,99.84
Gothic,100.12,99.25,96.55,99.35,100.31,97.26,103.44,103.69,97.53,94.8,99.06,98.89,90.87,89.98,93.76,96.35,96.76,97.48,93.57,67.12,74.23,68.73,72.11,75.47,,77.45,68.48,73.4,66.62,76.47,94.62,94.89,93.61,92.18,95.09,94.97,94.4,95.13,98.35,90.53,95.05,92.17,89.01,83.81,95.42,88.58,92.85,92.48,88.44,93.52,91.13,93.47,97.75,95.31,91.58,94.24,91.73,93.53,95.96,101.16,98.96,95.16,100.08,100.63,101.54,99.97,97.26,94.24,101.5,98.77,99.9,96.63,105.96,100.93,101.27,98.16,101.21,100.16,100.94,99.08,103.05,100.76,101.42,101.07,101.27,102.39,99.15,99.52,98.6,100.61
Icelandic,100.2,101.3,99.59,99.69,99.32,99.6,102.13,103.11,98.74,96.61,96.5,99.07,96.83,97.14,91.47,98.15,99.6,100.87,95.77,75.45,66.13,72.94,76.79,61.25,77.45,,70.43,66.02,70.9,69.82,102.7,98.24,94.59,95.51,93.55,92.5,94.19,95.49,98.67,95.45,92.24,94.46,94.82,90.94,96.79,92.97,93.81,90.89,93.95,96.19,97.02,96.26,97.33,93.3,95.41,98.86,94.63,95.43,99.81,100.32,101.22,99.52,99.95,98.46,95.84,98.25,99.3,99.19,100.72,102.26,98.47,97.64,100.98,101.51,101.24,100.86,101.3,102.42,99.49,97.61,100.42,100.87,99.0,97.64,99.76,101.34,100.77,100.0,100.97,100.23
Low Saxon,98.55,99.98,97.93,99.83,99.73,98.1,101.48,104.61,101.94,96.12,94.81,98.55,92.24,94.48,94.1,97.24,96.46,96.06,95.68,47.38,61.48,38.66,56.97,70.95,68.48,70.43,,61.78,44.61,62.63,96.01,95.18,90.88,89.34,92.61,90.72,90.99,95.37,91.92,88.35,92.73,89.67,85.47,88.2,95.18,86.37,91.23,89.32,86.38,86.78,89.66,91.55,93.78,92.73,86.91,89.28,88.23,92.88,93.74,101.32,103.43,100.06,100.26,98.71,98.25,100.01,98.23,99.03,96.66,96.77,99.28,97.91,102.58,101.09,102.71,99.46,99.16,102.94,98.5,95.43,103.96,99.94,100.95,100.16,96.93,101.38,100.57,101.03,99.23,101.39
