,Akkadian,Assyrian,Hebrew,Maltese,Arabic,Bambara,Yoruba,Wolof,Basque,Albanian,Armenian,Western Armenian,Latvian,Lithuanian,Breton,Scottish Gaelic,Irish,Manx,Welsh,Afrikaans,Danish,Dutch,English,Faroese,Gothic,Icelandic,Low Saxon,Norwegian,German,Swedish,Greek,Ancient Greek,Bhojpuri,Hindi,Marathi,Sanskrit,Urdu,Kurmanji,Persian,Catalan,French,Galician,Italian,Latin,Portuguese,Romanian,Spanish,Belarusian,Bulgarian,Croatian,Czech,Old Church Slavonic,Polish,Russian,Serbian,Slovak,Slovenian,Ukrainian,Upper Sorbian,Estonian,Finnish,Karelian,Erzya,Moksha,Komi Permyak,Komi Zyrian,Skolt Sami,Hungarian,Kazakh,Old Turkish,Turkish,Uyghur,Japanese,Korean,Telugu,Tamil,Cantonese,Chinese,Classical Chinese,Thai,Vietnamese,Tagalog,Indonesian,Warlpiri,Kiche,Apurina,Munduruku,Guajajara,Tupinamba,Kaapor
Galician,94.13,96.3,97.53,96.95,97.19,95.22,102.77,101.88,98.91,93.25,98.58,95.55,95.3,93.4,87.16,97.53,96.96,94.0,87.61,87.13,91.26,90.2,89.66,89.15,92.17,94.46,89.67,90.54,91.54,93.39,89.78,90.28,89.57,91.33,92.96,94.38,89.96,93.39,92.96,63.51,79.86,,49.9,62.99,55.01,68.92,54.82,91.32,91.53,89.13,92.2,89.84,94.21,97.52,90.44,92.04,90.12,94.94,93.3,98.73,100.78,101.64,100.41,98.88,99.96,100.17,99.51,100.09,101.68,102.26,98.64,99.25,100.79,98.56,99.85,97.03,100.35,101.71,100.28,99.37,96.99,98.96,98.42,100.32,101.97,99.95,100.72,101.35,100.93,99.49
Italian,95.64,97.1,98.52,93.85,97.27,97.8,101.77,102.6,102.29,90.32,96.71,96.65,95.4,90.6,89.28,96.61,97.14,97.63,87.83,89.65,90.39,87.38,89.88,93.26,89.01,94.82,85.47,91.83,86.3,92.98,91.67,93.45,87.45,88.49,94.87,93.05,88.18,89.86,91.74,65.41,78.25,49.9,,63.34,65.86,55.78,57.26,91.93,86.98,89.13,90.6,87.45,92.23,95.47,89.77,92.18,88.53,92.73,92.47,99.77,102.72,102.36,97.86,97.47,98.2,97.69,99.4,101.14,100.93,102.56,98.33,98.73,100.01,98.98,98.62,100.25,98.14,100.25,102.05,100.06,102.33,99.19,97.82,96.42,96.97,101.33,99.88,100.67,99.39,99.28
Latin,95.67,96.1,98.15,97.43,98.4,99.52,101.82,103.83,98.71,93.62,98.82,96.22,90.06,87.79,87.53,97.31,93.38,95.52,87.56,90.19,91.09,89.89,88.79,89.11,83.81,90.94,88.2,89.22,89.38,91.07,92.22,87.53,90.08,87.69,94.17,91.96,88.79,88.26,88.97,69.58,81.49,62.99,63.34,,74.17,66.9,73.64,92.26,89.57,86.32,87.82,84.8,90.19,92.49,87.96,88.04,86.23,92.81,90.2,98.0,97.09,101.4,97.86,98.09,100.15,99.31,100.54,96.5,101.01,103.64,98.72,99.8,99.98,100.8,99.9,100.02,99.8,104.07,98.35,98.45,100.93,99.45,89.68,97.65,98.82,98.65,101.44,99.69,102.1,100.78
Portuguese,98.19,98.21,100.0,93.95,97.54,95.16,100.9,102.45,98.63,90.43,97.59,94.53,94.47,95.63,91.68,98.46,99.07,97.2,93.21,96.2,94.85,96.56,96.16,93.17,95.42,96.79,95.18,97.01,93.53,94.2,90.18,94.08,88.7,89.18,93.22,92.82,86.13,93.23,96.03,72.74,78.74,55.01,65.86,74.17,,72.52,67.96,93.92,91.05,94.47,95.3,93.05,94.86,95.78,94.74,94.02,93.72,95.69,94.71,98.82,97.23,101.72,96.3,98.16,97.36,98.9,100.62,98.06,100.42,100.12,99.17,97.97,101.95,101.05,98.77,99.95,100.34,101.76,100.56,97.5,98.02,99.96,100.25,98.0,101.39,100.64,101.79,98.39,99.84,97.52
Romanian,96.76,96.99,96.17,93.03,94.51,96.54,100.03,102.5,100.85,90.41,94.47,94.82,94.39,93.83,91.35,98.86,98.24,96.37,86.76,89.87,89.8,87.24,87.74,92.2,88.58,92.97,86.37,94.12,88.17,93.11,90.33,94.04,85.92,87.63,89.95,91.3,88.46,89.76,92.91,64.18,78.89,68.92,55.78,66.9,72.52,,73.71,91.51,86.09,89.48,90.89,89.78,93.88,95.39,90.81,92.5,89.32,95.69,93.8,99.31,100.05,99.67,98.24,98.3,98.89,100.26,99.17,99.81,101.82,101.44,97.29,96.99,103.02,96.35,98.43,98.51,98.45,101.05,97.91,100.8,103.86,98.14,94.42,100.19,99.14,98.85,99.79,98.26,97.15,101.75
Spanish,97.85,99.24,98.69,95.79,98.49,99.85,100.52,102.63,101.71,94.96,97.11,97.52,98.45,94.5,90.2,96.76,97.03,96.97,92.44,89.64,92.49,91.82,94.14,90.06,92.85,93.81,91.23,95.35,92.98,92.63,94.12,95.05,93.76,92.94,95.5,95.73,89.78,91.73,96.31,72.12,84.03,54.82,57.26,73.64,67.96,73.71,,92.62,93.8,91.74,90.16,95.39,91.04,95.78,90.76,91.06,90.68,90.91,93.03,97.13,97.38,100.47,99.07,97.25,98.46,97.89,100.91,101.97,101.82,101.84,98.51,99.16,101.04,102.11,102.81,100.65,98.08,98.66,101.53,95.23,99.02,96.76,97.62,96.79,99.54,96.62,100.96,99.49,101.2,98.76
Belarusian,98.73,98.38,99.66,99.38,99.11,100.78,101.7,102.36,99.52,95.73,98.75,96.23,90.91,93.09,93.12,97.24,95.55,94.96,90.68,92.32,92.38,92.85,91.4,88.93,92.48,90.89,89.32,92.04,90.92,93.22,99.63,95.15,92.12,92.85,94.14,94.58,92.76,94.46,92.22,93.7,93.86,91.32,91.93,92.26,93.92,91.51,92.62,,61.82,55.15,52.01,64.0,56.8,50.76,54.88,47.78,53.85,48.12,53.54,98.84,100.26,100.64,97.57,99.93,93.62,94.65,97.88,93.14,100.27,101.01,95.98,99.29,101.03,98.19,98.57,98.19,100.33,101.81,98.35,99.59,101.0,98.32,97.21,96.29,99.88,98.18,102.08,100.13,101.24,101.78
Bulgarian,95.45,95.94,99.97,98.4,98.42,101.19,100.93,98.52,99.12,96.13,95.82,94.29,85.41,88.17,91.26,99.11,95.29,95.91,91.48,90.5,95.0,92.33,90.65,90.1,88.44,93.95,86.38,92.7,92.1,94.69,95.95,94.84,90.83,89.05,97.41,91.36,91.34,93.55,97.11,90.78,91.67,91.53,86.98,89.57,91.05,86.09,93.8,61.82,,47.15,54.11,47.75,60.05,58.81,47.98,55.33,40.24,63.7,65.14,99.43,101.17,99.75,96.55,99.14,99.19,98.46,98.92,94.31,97.97,99.86,97.13,97.22,101.37,98.15,98.88,96.45,98.54,99.81,97.9,101.5,102.06,102.73,99.59,100.96,100.72,96.06,102.31,99.92,101.08,100.09
Croatian,95.55,97.12,100.54,100.48,100.13,97.66,103.35,98.05,99.98,98.17,95.89,96.68,86.55,89.56,88.84,101.07,95.66,95.27,91.53,91.83,90.52,90.57,87.09,93.08,93.52,96.19,86.78,91.46,91.98,89.42,96.44,94.47,91.76,90.68,95.4,93.08,94.74,93.89,93.12,91.62,90.6,89.13,89.13,86.32,94.47,89.48,91.74,55.15,47.15,,43.72,43.97,55.2,57.48,19.6,40.91,28.36,56.34,53.56,96.84,100.49,100.08,95.11,95.53,94.0,94.65,96.79,94.37,100.33,101.08,98.0,99.68,104.34,96.73,101.77,97.45,95.52,100.65,97.82,99.63,100.15,96.18,94.91,96.54,102.53,96.18,101.47,100.53,102.17,101.43
Czech,97.83,98.25,98.91,98.39,99.64,100.79,101.37,99.28,100.39,97.74,96.01,94.36,89.86,91.15,88.75,98.47,95.37,96.29,91.0,92.73,94.36,93.29,90.78,93.38,91.13,97.02,89.66,90.65,92.92,93.25,97.34,96.49,92.98,93.17,97.83,96.11,96.85,95.59,94.62,89.85,92.27,92.2,90.6,87.82,95.3,90.89,90.16,52.01,54.11,43.72,,47.75,44.05,56.69,43.86,32.82,35.68,55.7,39.61,99.94,97.34,100.56,96.64,96.59,92.82,93.46,98.77,94.31,101.58,100.86,99.07,99.3,101.37,99.26,98.69,96.51,102.37,102.01,97.64,100.45,100.12,99.23,95.35,98.42,99.88,99.18,101.39,101.7,103.2,102.93
Old Church Slavonic,98.27,97.18,100.97,99.88,99.75,99.7,102.64,101.74,100.63,99.57,96.12,95.08,87.6,86.95,93.08,99.12,96.25,95.84,92.49,93.65,96.62,92.39,93.78,94.48,93.47,96.26,91.55,92.72,92.14,94.86,97.33,93.79,90.12,90.94,96.41,91.39,94.01,93.39,94.8,92.91,93.19,89.84,87.45,84.8,93.05,89.78,95.39,64.0,47.75,43.97,47.75,,57.47,60.69,45.56,50.5,39.2,64.19,59.84,97.18,98.29,98.26,94.88,98.6,92.02,93.37,96.41,94.98,97.37,101.42,97.73,98.28,98.34,99.92,98.22,98.14,101.1,101.48,99.53,102.43,99.16,93.79,93.99,99.09,101.1,96.91,100.56,100.4,102.79,101.25
Polish,98.98,97.1,100.05,99.3,99.52,99.02,100.3,101.8,100.09,98.52,97.22,95.86,89.93,91.04,94.38,98.69,95.64,97.71,95.3,92.62,97.12,94.71,95.46,96.99,97.75,97.33,93.78,94.34,96.5,97.63,96.4,96.8,92.44,93.73,95.13,92.49,93.64,94.22,91.71,92.54,94.2,94.21,92.23,90.19,94.86,93.88,91.04,56.8,60.05,55.2,44.05,57.47,,57.64,53.57,53.57,46.38,65.98,42.25,98.51,97.59,99.8,96.22,97.5,94.63,92.29,100.43,96.19,101.53,101.2,100.69,101.6,98.44,98.41,100.98,100.77,101.44,102.23,96.68,100.87,100.7,98.98,95.83,99.67,98.79,98.26,101.13,103.84,103.28,101.43
Russian,98.54,97.86,100.16,101.15,96.72,99.92,101.02,99.28,100.33,97.82,97.36,95.48,89.66,91.87,92.7,99.7,97.48,98.01,93.26,92.23,94.83,92.87,93.1,93.98,95.31,93.3,92.73,92.26,92.04,96.65,99.7,96.82,93.51,94.15,95.39,93.27,94.32,95.57,93.02,92.0,92.21,97.52,95.47,92.49,95.78,95.39,95.78,50.76,58.81,57.48,56.69,60.69,57.64,,52.99,55.26,51.63,61.92,54.69,99.29,100.11,99.97,97.97,99.96,94.46,94.33,98.59,97.67,100.61,99.24,98.25,100.15,100.12,100.08,97.27,97.33,102.05,100.28,100.08,102.24,101.43,101.1,98.41,97.93,98.75,99.15,101.78,102.28,101.46,103.51
Serbian,96.97,96.77,100.59,100.0,100.15,97.45,102.24,97.55,100.27,98.41,96.29,96.33,87.09,89.81,89.6,99.71,96.29,97.69,92.33,91.93,91.3,90.78,87.39,92.17,91.58,95.41,86.91,90.52,91.56,88.22,95.48,95.65,90.8,88.26,94.95,91.89,92.39,95.65,93.93,93.03,91.21,90.44,89.77,87.96,94.74,90.81,90.76,54.88,47.98,19.6,43.86,45.56,53.57,52.99,,38.69,34.19,60.06,54.14,95.64,98.03,97.92,95.41,97.66,94.22,94.8,97.54,96.75,102.27,100.67,97.57,97.92,103.14,97.46,100.72,98.25,96.22,101.15,98.26,100.16,100.53,97.51,95.38,97.15,101.86,96.75,100.84,100.6,102.03,100.73
Slovak,98.02,98.42,98.52,100.33,100.33,98.3,101.03,99.87,98.9,96.19,96.9,96.2,86.61,89.99,91.91,98.4,95.67,96.13,92.74,93.24,95.21,92.45,91.38,94.09,94.24,98.86,89.28,92.09,93.54,92.07,97.46,96.01,90.34,92.53,97.69,95.33,94.08,95.18,93.42,91.89,91.94,92.04,92.18,88.04,94.02,92.5,91.06,47.78,55.33,40.91,32.82,50.5,53.57,55.26,38.69,,44.25,54.73,44.42,97.98,98.25,101.42,97.33,97.98,94.97,96.39,98.85,96.13,102.83,101.01,99.35,100.4,100.79,100.61,99.06,96.85,100.18,102.64,97.79,102.54,97.62,99.6,97.23,98.78,98.6,98.25,103.58,100.7,102.53,100.68
Slovenian,94.7,95.55,99.83,97.94,98.99,98.68,102.34,100.83,100.12,97.89,95.17,95.04,83.4,86.7,89.23,99.5,94.93,95.74,92.47,91.83,91.7,90.84,89.87,90.94,91.73,94.63,88.23,88.92,89.75,91.61,96.98,94.02,92.72,91.15,96.72,93.07,94.47,91.46,93.61,89.98,90.51,90.12,88.53,86.23,93.72,89.32,90.68,53.85,40.24,28.36,35.68,39.2,46.38,51.63,34.19,44.25,,52.49,49.92,99.69,99.91,100.7,97.07,98.85,92.66,93.38,99.1,93.93,98.55,100.33,98.96,98.45,101.59,96.1,99.54,97.41,101.23,100.94,98.62,99.89,101.0,99.76,96.09,97.62,100.76,97.54,101.71,100.71,101.79,102.13
Ukrainian,100.71,100.65,98.71,99.78,98.61,100.29,100.36,99.49,100.89,97.99,95.9,96.74,92.27,91.97,93.17,100.09,98.64,94.78,94.71,94.35,94.99,94.26,96.54,93.5,93.53,95.43,92.88,94.24,94.41,92.33,95.38,91.05,97.24,95.13,97.29,95.37,94.29,95.93,95.8,90.47,93.98,94.94,92.73,92.81,95.69,95.69,90.91,48.12,63.7,56.34,55.7,64.19,65.98,61.92,60.06,54.73,52.49,,64.74,99.77,102.35,101.59,97.0,99.5,96.43,97.48,95.22,96.06,98.96,100.02,100.01,96.62,105.24,100.55,99.64,99.16,98.48,97.08,98.6,101.23,99.7,101.1,99.71,100.0,99.41,95.52,102.68,100.32,100.44,102.83
Upper Sorbian,99.98,100.03,97.96,99.04,98.78,100.2,100.06,101.27,101.12,97.17,95.72,94.05,91.86,93.4,92.57,98.69,96.49,98.48,91.11,93.33,97.75,93.8,94.39,97.16,95.96,99.81,93.74,94.82,95.65,98.44,97.66,96.97,94.74,95.3,97.31,94.88,96.52,95.5,93.0,92.84,93.61,93.3,92.47,90.2,94.71,93.8,93.03,53.54,65.14,53.56,39.61,59.84,42.25,54.69,54.14,44.42,49.92,64.74,,98.47,98.08,101.64,96.46,97.97,94.49,93.37,100.15,95.75,100.58,99.43,99.18,101.15,99.85,101.76,96.81,98.89,101.46,101.2,97.92,101.11,98.34,99.27,96.22,99.51,100.23,98.27,101.17,101.82,101.24,101.5
Estonian,101.6,99.3,100.47,101.44,102.42,96.7,100.71,99.56,99.44,97.87,97.68,99.35,98.0,99.32,96.11,93.94,96.71,98.5,94.78,98.96,101.89,100.02,101.12,101.66,101.16,100.32,101.32,99.99,96.83,99.23,99.39,98.54,99.91,98.56,96.5,99.12,98.31,98.5,100.19,100.05,98.06,98.73,99.77,98.0,98.82,99.31,97.13,98.84,99.43,96.84,99.94,97.18,98.51,99.29,95.64,97.98,99.69,99.77,98.47,,47.55,43.18,85.85,87.16,83.45,84.09,84.56,89.18,101.32,98.07,96.82,103.18,94.91,99.1,100.13,98.61,99.68,97.94,95.43,98.65,99.22,103.01,104.93,100.67,101.22,99.93,100.01,98.5,100.11,100.06
Finnish,101.39,101.68,99.68,101.21,99.43,100.46,101.84,100.5,99.04,102.0,102.04,100.79,97.79,102.46,97.83,100.31,95.69,100.08,96.75,97.42,101.88,101.44,104.04,102.26,98.96,101.22,103.43,101.36,99.04,97.53,102.01,100.99,94.49,97.69,97.43,98.11,97.54,98.51,100.97,101.31,98.81,100.78,102.72,97.09,97.23,100.05,97.38,100.26,101.17,100.49,97.34,98.29,97.59,100.11,98.03,98.25,99.91,102.35,98.08,47.55,,33.07,84.38,84.78,81.3,80.5,87.05,85.04,101.19,98.24,95.79,103.15,96.75,101.92,99.95,99.74,103.53,98.58,96.59,95.71,95.47,98.03,101.36,102.29,100.34,98.82,99.76,92.09,96.14,96.75
Karelian,101.22,101.62,100.3,100.87,101.0,95.21,101.69,102.14,97.85,99.0,98.97,102.7,98.54,100.73,97.49,98.95,96.67,99.19,93.84,97.65,99.23,100.17,104.36,101.06,95.16,99.52,100.06,98.83,94.61,96.39,98.46,99.65,94.36,97.26,96.11,99.15,97.35,101.55,100.0,102.08,99.35,101.64,102.36,101.4,101.72,99.67,100.47,100.64,99.75,100.08,100.56,98.26,99.8,99.97,97.92,101.42,100.7,101.59,101.64,43.18,33.07,,85.64,88.72,81.8,81.09,85.07,86.95,99.41,97.29,93.7,100.95,98.06,100.22,98.98,97.71,99.42,99.36,97.96,99.23,99.71,100.93,102.85,102.99,100.13,101.68,100.27,94.75,96.73,99.01
Erzya,103.05,101.0,99.67,101.32,101.51,97.55,101.31,100.38,100.72,102.57,100.34,96.54,98.47,101.55,96.76,96.46,98.87,99.62,98.11,103.68,98.47,103.83,101.28,98.51,100.08,99.95,100.26,100.45,101.08,98.39,97.07,100.48,97.87,98.25,96.43,99.92,97.12,98.39,95.9,96.36,100.18,100.41,97.86,97.86,96.3,98.24,99.07,97.57,96.55,95.11,96.64,94.88,96.22,97.97,95.41,97.33,97.07,97.0,96.46,85.85,84.38,85.64,,42.91,91.63,90.9,84.42,85.34,95.57,95.2,96.11,98.58,98.92,97.98,100.98,100.32,99.33,98.98,100.68,101.79,97.61,100.71,99.5,98.49,98.53,99.8,98.2,103.03,100.73,102.47
Moksha,99.27,100.38,95.77,100.01,100.15,101.77,101.81,99.17,99.75,102.18,101.3,101.7,100.71,102.7,97.14,94.75,96.75,98.94,96.37,101.35,100.6,102.23,99.29,100.83,100.63,98.46,98.71,101.37,100.99,98.6,99.14,102.54,98.32,99.02,96.8,99.73,97.18,100.54,96.38,96.86,99.27,98.88,97.47,98.09,98.16,98.3,97.25,99.93,99.14,95.53,96.59,98.6,97.5,99.96,97.66,97.98,98.85,99.5,97.97,87.16,84.78,88.72,42.91,,93.85,92.41,85.84,89.64,96.92,97.68,98.09,98.93,100.98,97.76,100.7,101.37,98.84,98.82,97.17,102.7,96.01,99.44,99.21,97.12,96.51,99.26,96.24,102.24,103.11,103.71
Komi Permyak,96.53,91.56,97.92,98.26,98.9,99.79,101.28,103.11,101.43,99.85,100.06,101.85,99.67,98.32,99.8,102.48,99.08,99.48,99.18,96.99,95.63,98.11,100.88,95.53,101.54,95.84,98.25,96.06,99.84,98.15,102.8,99.83,95.77,99.75,98.28,97.71,100.02,102.01,101.26,103.09,101.89,99.96,98.2,100.15,97.36,98.89,98.46,93.62,99.19,94.0,92.82,92.02,94.63,94.46,94.22,94.97,92.66,96.43,94.49,83.45,81.3,81.8,91.63,93.85,,22.34,90.44,88.53,98.48,102.67,97.2,100.1,95.38,101.34,97.4,100.75,99.52,96.05,100.36,97.68,104.72,99.91,100.91,99.94,102.18,97.49,102.89,95.72,99.56,98.39
Komi Zyrian,97.82,95.43,99.16,100.05,99.47,99.2,102.65,105.35,101.69,100.55,100.16,99.75,101.11,98.73,99.05,102.13,99.63,99.95,98.73,96.99,97.83,100.11,101.08,97.25,99.97,98.25,100.01,98.18,98.12,99.73,102.81,99.91,96.69,98.81,102.81,102.0,100.75,101.6,99.9,101.93,101.32,100.17,97.69,99.31,98.9,100.26,97.89,94.65,98.46,94.65,93.46,93.37,92.29,94.33,94.8,96.39,93.38,97.48,93.37,84.09,80.5,81.09,90.9,92.41,22.34,,88.41,89.07,101.23,103.35,99.06,101.99,96.77,99.52,97.0,99.28,101.7,98.65,101.69,99.68,102.97,100.24,100.28,99.57,101.69,97.03,102.85,96.02,98.72,96.52
Skolt Sami,100.53,101.37,98.95,101.9,100.29,101.98,101.59,99.09,102.17,100.12,96.86,94.72,99.26,98.79,96.39,101.42,101.17,97.23,92.87,97.48,100.13,100.53,99.6,100.36,97.26,99.3,98.23,99.68,97.01,99.17,96.38,97.58,100.67,98.32,100.06,98.38,99.29,96.9,93.97,98.8,102.95,99.51,99.4,100.54,100.62,99.17,100.91,97.88,98.92,96.79,98.77,96.41,100.43,98.59,97.54,98.85,99.1,95.22,100.15,84.56,87.05,85.07,84.42,85.84,90.44,88.41,,92.57,96.73,94.84,99.74,96.68,100.92,103.22,98.46,94.95,97.66,100.77,98.85,96.7,96.55,99.04,101.06,99.7,99.38,99.2,99.32,99.49,100.19,100.36
Hungarian,98.75,97.41,97.5,100.02,98.53,99.72,99.81,101.02,97.43,97.86,99.76,96.25,97.41,99.35,97.07,97.18,100.55,99.83,98.02,99.3,98.53,98.33,96.19,98.19,94.24,99.19,99.03,99.18,98.33,97.73,97.94,97.88,98.99,98.48,98.85,100.48,97.98,93.51,98.86,100.11,96.93,100.09,101.14,96.5,98.06,99.81,101.97,93.14,94.31,94.37,94.31,94.98,96.19,97.67,96.75,96.13,93.93,96.06,95.75,89.18,85.04,86.95,85.34,89.64,88.53,89.07,92.57,,96.43,98.92,94.16,99.08,99.01,99.15,97.38,101.86,102.41,101.43,100.81,99.63,100.26,96.55,97.53,99.65,103.05,97.7,99.38,99.04,99.79,99.58
Kazakh,97.16,102.21,99.89,101.99,98.3,99.49,100.81,97.01,100.77,100.89,99.34,97.05,99.64,103.33,100.38,100.74,100.46,95.84,99.85,98.42,99.66,100.27,99.4,98.21,101.5,100.72,96.66,99.37,99.23,99.66,100.91,99.88,101.26,97.49,99.64,102.7,99.64,99.45,97.41,100.17,101.76,101.68,100.93,101.01,100.42,101.82,101.82,100.27,97.97,100.33,101.58,97.37,101.53,100.61,102.27,102.83,98.55,98.96,100.58,101.32,101.19,99.41,95.57,96.92,98.48,101.23,96.73,96.43,,49.61,72.81,52.67,97.72,100.25,99.28,101.75,102.39,99.61,98.04,97.71,99.3,102.48,101.54,99.48,99.0,100.32,99.02,93.21,95.81,97.27
Old Turkish,102.4,103.64,99.91,105.26,101.2,102.37,100.41,99.88,99.85,99.79,96.34,98.28,98.6,100.43,98.85,100.04,96.51,99.11,100.77,99.11,99.75,99.3,96.36,98.97,98.77,102.26,96.77,101.17,98.65,100.88,100.85,100.38,99.27,100.92,102.39,100.78,100.16,98.74,95.49,100.63,104.03,102.26,102.56,103.64,100.12,101.44,101.84,101.01,99.86,101.08,100.86,101.42,101.2,99.24,100.67,101.01,100.33,100.02,99.43,98.07,98.24,97.29,95.2,97.68,102.67,103.35,94.84,98.92,49.61,,73.6,60.38,102.41,104.7,102.72,102.56,102.01,100.6,98.2,100.03,99.33,100.94,104.67,99.67,101.06,100.91,100.29,99.24,99.2,101.77
Turkish,94.73,97.69,99.7,99.71,95.18,96.21,102.26,100.01,99.52,97.39,96.71,95.85,98.32,99.47,97.92,100.26,100.2,97.64,97.62,101.64,101.94,101.96,101.07,100.04,99.9,98.47,99.28,101.18,99.77,100.71,99.7,99.44,95.87,98.27,96.2,101.47,97.14,97.11,98.64,100.01,98.71,98.64,98.33,98.72,99.17,97.29,98.51,95.98,97.13,98.0,99.07,97.73,100.69,98.25,97.57,99.35,98.96,100.01,99.18,96.82,95.79,93.7,96.11,98.09,97.2,99.06,99.74,94.16,72.81,73.6,,74.91,100.79,98.29,99.24,99.43,102.24,101.63,99.79,97.37,97.8,101.37,101.62,97.7,100.71,98.31,101.8,100.13,97.93,100.32
Uyghur,97.77,100.68,100.13,101.74,97.06,98.68,100.76,97.04,100.14,99.74,98.14,99.46,96.35,98.54,101.3,101.36,98.37,97.43,99.64,98.48,99.21,98.88,96.7,99.15,96.63,97.64,97.91,99.06,95.66,98.15,98.19,95.87,98.7,96.34,100.79,96.71,96.69,96.34,97.07,97.07,100.81,99.25,98.73,99.8,97.97,96.99,99.16,99.29,97.22,99.68,99.3,98.28,101.6,100.15,97.92,100.4,98.45,96.62,101.15,103.18,103.15,100.95,98.58,98.93,100.1,101.99,96.68,99.08,52.67,60.38,74.91,,100.74,98.05,100.84,99.51,100.79,99.35,99.41,101.13,101.7,100.7,102.07,100.69,101.96,99.34,99.81,97.34,96.01,97.32
Japanese,98.27,97.94,100.7,98.44,100.09,96.62,98.42,101.13,99.65,101.56,101.29,99.76,99.59,98.13,101.5,102.21,100.43,101.29,100.37,102.1,103.55,101.93,98.34,100.61,105.96,100.98,102.58,100.23,100.09,101.18,100.9,99.87,98.89,101.53,98.53,100.39,102.06,98.28,101.6,102.21,102.94,100.79,100.01,99.98,101.95,103.02,101.04,101.03,101.37,104.34,101.37,98.34,98.44,100.12,103.14,100.79,101.59,105.24,99.85,94.91,96.75,98.06,98.92,100.98,95.38,96.77,100.92,99.01,97.72,102.41,100.79,100.74,,99.19,97.28,101.22,101.47,98.4,98.62,102.84,100.43,100.59,99.26,101.62,99.53,100.57,101.88,100.34,100.7,102.26
Korean,95.72,95.88,93.94,98.38,96.31,95.71,100.76,101.19,99.13,98.31,100.15,97.79,101.33,101.54,97.67,100.79,96.79,98.94,97.86,101.39,101.47,99.45,98.83,97.96,100.93,101.51,101.09,101.15,104.68,101.59,99.5,98.65,100.58,99.97,102.06,101.08,99.47,99.75,100.77,99.65,99.93,98.56,98.98,100.8,101.05,96.35,102.11,98.19,98.15,96.73,99.26,99.92,98.41,100.08,97.46,100.61,96.1,100.55,101.76,99.1,101.92,100.22,97.98,97.76,101.34,99.52,103.22,99.15,100.25,104.7,98.29,98.05,99.19,,98.78,97.86,95.73,95.91,97.6,103.65,100.94,101.79,97.76,96.75,101.55,98.33,100.06,101.14,101.35,101.96
Telugu,102.76,103.89,99.23,96.83,97.83,96.53,95.56,102.85,96.66,99.58,99.27,97.92,100.43,95.13,101.51,100.07,100.91,102.69,97.79,102.23,98.81,103.79,101.69,102.27,101.27,101.24,102.71,100.69,101.06,103.14,98.15,96.82,98.24,97.75,104.16,98.2,99.34,99.42,98.47,100.77,98.47,99.85,98.62,99.9,98.77,98.43,102.81,98.57,98.88,101.77,98.69,98.22,100.98,97.27,100.72,99.06,99.54,99.64,96.81,100.13,99.95,98.98,100.98,100.7,97.4,97.0,98.46,97.38,99.28,102.72,99.24,100.84,97.28,98.78,,80.91,98.76,100.28,99.2,98.74,95.44,97.44,99.65,100.2,100.27,97.96,101.04,101.53,103.12,100.98
Tamil,97.66,101.66,99.57,99.35,98.19,98.26,99.72,100.15,97.52,100.56,98.99,99.27,101.64,100.36,101.97,99.78,97.05,98.79,93.7,94.86,101.24,96.92,100.59,96.57,98.16,100.86,99.46,99.65,99.67,101.53,101.02,98.23,96.76,97.44,98.17,102.97,97.51,100.49,97.17,101.33,96.87,97.03,100.25,100.02,99.95,98.51,100.65,98.19,96.45,97.45,96.51,98.14,100.77,97.33,98.25,96.85,97.41,99.16,98.89,98.61,99.74,97.71,100.32,101.37,100.75,99.28,94.95,101.86,101.75,102.56,99.43,99.51,101.22,97.86,80.91,,100.25,99.49,99.61,101.1,98.6,100.37,100.56,99.28,101.73,97.91,102.55,100.81,100.89,101.17
Cantonese,98.5,101.7,99.93,96.33,101.32,103.1,100.63,101.01,96.73,100.78,98.83,98.5,100.83,100.37,98.56,100.06,100.69,100.26,99.32,101.62,100.88,100.12,98.99,100.03,101.21,101.3,99.16,100.69,100.69,99.82,97.77,100.09,103.47,103.36,102.14,98.5,101.18,100.63,100.64,96.27,96.05,100.35,98.14,99.8,100.34,98.45,98.08,100.33,98.54,95.52,102.37,101.1,101.44,102.05,96.22,100.18,101.23,98.48,101.46,99.68,103.53,99.42,99.33,98.84,99.52,101.7,97.66,102.41,102.39,102.01,102.24,100.79,101.47,95.73,98.76,100.25,,79.3,87.82,99.75,98.56,94.97,99.07,97.81,99.45,97.79,100.37,99.17,101.04,99.54
Chinese,100.69,101.11,102.77,99.66,100.92,101.42,97.78,104.74,101.27,100.97,101.75,97.95,94.76,99.03,100.26,100.1,100.35,101.4,100.69,100.25,101.56,100.14,102.3,99.9,100.16,102.42,102.94,101.79,102.35,100.88,102.88,98.54,101.76,102.83,101.81,102.7,100.17,101.27,100.93,100.5,101.86,101.71,100.25,104.07,101.76,101.05,98.66,101.81,99.81,100.65,102.01,101.48,102.23,100.28,101.15,102.64,100.94,97.08,101.2,97.94,98.58,99.36,98.98,98.82,96.05,98.65,100.77,101.43,99.61,100.6,101.63,99.35,98.4,95.91,100.28,99.49,79.3,,95.29,99.06,101.31,94.68,100.62,98.85,99.64,97.69,98.68,98.95,99.22,99.62
