,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
96,token-classification,udpos28,43b3553f,en,be,xlm-roberta-base,ft,85.7044716462653
97,token-classification,udpos28,43b3553f,en,sr,xlm-roberta-base,ft,86.41099728570177
98,token-classification,udpos28,43b3553f,en,mdf,xlm-roberta-base,ft,48.19707247411639
99,token-classification,udpos28,43b3553f,en,hyw,xlm-roberta-base,ft,79.45395067941621
100,token-classification,udpos28,43b3553f,en,gd,xlm-roberta-base,ft,58.90663390663391
101,token-classification,udpos28,43b3553f,en,kfm,xlm-roberta-base,ft,45.94594594594595
102,token-classification,udpos28,43b3553f,en,he,xlm-roberta-base,ft,91.66666666666666
103,token-classification,udpos28,43b3553f,en,ug,xlm-roberta-base,ft,73.96753647010479
104,token-classification,udpos28,43b3553f,en,ckt,xlm-roberta-base,ft,35.15431003902093
105,token-classification,udpos28,43b3553f,nl,en,xlm-roberta-base,ft,88.36410080846917
106,token-classification,udpos28,43b3553f,nl,nl,xlm-roberta-base,ft,93.83386299435028
107,token-classification,udpos28,43b3553f,nl,de,xlm-roberta-base,ft,88.13924728016653
108,token-classification,udpos28,43b3553f,nl,it,xlm-roberta-base,ft,87.30181001824049
109,token-classification,udpos28,43b3553f,nl,fr,xlm-roberta-base,ft,86.61753868828298
110,token-classification,udpos28,43b3553f,nl,es,xlm-roberta-base,ft,89.56054016937514
111,token-classification,udpos28,43b3553f,nl,ru,xlm-roberta-base,ft,87.6539860338624
112,token-classification,udpos28,43b3553f,nl,sv,xlm-roberta-base,ft,90.02745063313557
113,token-classification,udpos28,43b3553f,nl,no,xlm-roberta-base,ft,86.62066410410782
114,token-classification,udpos28,43b3553f,nl,da,xlm-roberta-base,ft,88.715953307393
115,token-classification,udpos28,43b3553f,nl,nds,xlm-roberta-base,ft,64.04494382022472
116,token-classification,udpos28,43b3553f,nl,akk,xlm-roberta-base,ft,41.35280553420446
117,token-classification,udpos28,43b3553f,nl,hy,xlm-roberta-base,ft,84.07948288245152
118,token-classification,udpos28,43b3553f,nl,cy,xlm-roberta-base,ft,66.48868345553076
119,token-classification,udpos28,43b3553f,nl,orv,xlm-roberta-base,ft,76.05403075154477
120,token-classification,udpos28,43b3553f,nl,sq,xlm-roberta-base,ft,77.44034707158352
121,token-classification,udpos28,43b3553f,nl,sl,xlm-roberta-base,ft,76.41125684874646
122,token-classification,udpos28,43b3553f,nl,gub,xlm-roberta-base,ft,35.32008830022075
123,token-classification,udpos28,43b3553f,nl,kmr,xlm-roberta-base,ft,79.25269299820467
124,token-classification,udpos28,43b3553f,nl,tr,xlm-roberta-base,ft,76.37262455059066
125,token-classification,udpos28,43b3553f,nl,fi,xlm-roberta-base,ft,84.87154690325022
126,token-classification,udpos28,43b3553f,nl,id,xlm-roberta-base,ft,84.72436715235345
127,token-classification,udpos28,43b3553f,nl,uk,xlm-roberta-base,ft,84.95725494788617
128,token-classification,udpos28,43b3553f,nl,pl,xlm-roberta-base,ft,85.29144874692712
129,token-classification,udpos28,43b3553f,nl,pt,xlm-roberta-base,ft,89.28602947665696
130,token-classification,udpos28,43b3553f,nl,kk,xlm-roberta-base,ft,81.31855309218203
131,token-classification,udpos28,43b3553f,nl,la,xlm-roberta-base,ft,78.97804268070995
132,token-classification,udpos28,43b3553f,nl,fro,xlm-roberta-base,ft,63.67669086300265
133,token-classification,udpos28,43b3553f,nl,bxr,xlm-roberta-base,ft,64.63317384370016
134,token-classification,udpos28,43b3553f,nl,urb,xlm-roberta-base,ft,25.0
135,token-classification,udpos28,43b3553f,nl,ko,xlm-roberta-base,ft,61.06627580482809
136,token-classification,udpos28,43b3553f,nl,et,xlm-roberta-base,ft,86.84837387175706
137,token-classification,udpos28,43b3553f,nl,hr,xlm-roberta-base,ft,86.77246496290189
138,token-classification,udpos28,43b3553f,nl,got,xlm-roberta-base,ft,32.88880172582859
139,token-classification,udpos28,43b3553f,nl,gsw,xlm-roberta-base,ft,56.16343490304709
140,token-classification,udpos28,43b3553f,nl,aii,xlm-roberta-base,ft,16.777041942604857
141,token-classification,udpos28,43b3553f,nl,sme,xlm-roberta-base,ft,45.544455544455545
142,token-classification,udpos28,43b3553f,nl,pcm,xlm-roberta-base,ft,43.84191817104621
143,token-classification,udpos28,43b3553f,nl,lv,xlm-roberta-base,ft,84.87941559091364
144,token-classification,udpos28,43b3553f,nl,zh,xlm-roberta-base,ft,45.12937716760696
145,token-classification,udpos28,43b3553f,nl,tl,xlm-roberta-base,ft,72.99813780260708
146,token-classification,udpos28,43b3553f,nl,bm,xlm-roberta-base,ft,31.093105693409534
147,token-classification,udpos28,43b3553f,nl,lt,xlm-roberta-base,ft,84.42801948597346
148,token-classification,udpos28,43b3553f,nl,gl,xlm-roberta-base,ft,86.6481223922114
149,token-classification,udpos28,43b3553f,nl,vi,xlm-roberta-base,ft,65.11919698870766
150,token-classification,udpos28,43b3553f,nl,el,xlm-roberta-base,ft,84.54656364375762
151,token-classification,udpos28,43b3553f,nl,ca,xlm-roberta-base,ft,88.38750241826273
152,token-classification,udpos28,43b3553f,nl,cs,xlm-roberta-base,ft,86.96291215521043
153,token-classification,udpos28,43b3553f,nl,myv,xlm-roberta-base,ft,49.86554210976653
154,token-classification,udpos28,43b3553f,nl,bho,xlm-roberta-base,ft,53.5483870967742
155,token-classification,udpos28,43b3553f,nl,th,xlm-roberta-base,ft,59.389839620105725
156,token-classification,udpos28,43b3553f,nl,mr,xlm-roberta-base,ft,85.88957055214725
157,token-classification,udpos28,43b3553f,nl,eu,xlm-roberta-base,ft,77.94371051120046
158,token-classification,udpos28,43b3553f,nl,sk,xlm-roberta-base,ft,87.87561427535648
159,token-classification,udpos28,43b3553f,nl,quc,xlm-roberta-base,ft,39.56580276001346
160,token-classification,udpos28,43b3553f,nl,yo,xlm-roberta-base,ft,26.093069028539297
161,token-classification,udpos28,43b3553f,nl,wbp,xlm-roberta-base,ft,41.70040485829959
162,token-classification,udpos28,43b3553f,nl,ta,xlm-roberta-base,ft,82.62383900928792
163,token-classification,udpos28,43b3553f,nl,mt,xlm-roberta-base,ft,33.62232457328637
164,token-classification,udpos28,43b3553f,nl,grc,xlm-roberta-base,ft,63.49604645055875
165,token-classification,udpos28,43b3553f,nl,is,xlm-roberta-base,ft,83.02940970846636
166,token-classification,udpos28,43b3553f,nl,gun,xlm-roberta-base,ft,34.14264036418817
167,token-classification,udpos28,43b3553f,nl,ur,xlm-roberta-base,ft,70.55247872484128
168,token-classification,udpos28,43b3553f,nl,ro,xlm-roberta-base,ft,83.09907504529417
169,token-classification,udpos28,43b3553f,nl,fa,xlm-roberta-base,ft,78.26783071020753
170,token-classification,udpos28,43b3553f,nl,apu,xlm-roberta-base,ft,47.05882352941176
171,token-classification,udpos28,43b3553f,nl,ja,xlm-roberta-base,ft,29.82456140350877
172,token-classification,udpos28,43b3553f,nl,hu,xlm-roberta-base,ft,85.0593415007657
173,token-classification,udpos28,43b3553f,nl,hi,xlm-roberta-base,ft,76.31920889653892
174,token-classification,udpos28,43b3553f,nl,lzh,xlm-roberta-base,ft,29.31002844297642
175,token-classification,udpos28,43b3553f,nl,koi,xlm-roberta-base,ft,51.84743742550656
176,token-classification,udpos28,43b3553f,nl,fo,xlm-roberta-base,ft,78.69301401492777
177,token-classification,udpos28,43b3553f,nl,sa,xlm-roberta-base,ft,41.66502850402988
178,token-classification,udpos28,43b3553f,nl,olo,xlm-roberta-base,ft,68.21236559139786
179,token-classification,udpos28,43b3553f,nl,ar,xlm-roberta-base,ft,81.42762723066754
180,token-classification,udpos28,43b3553f,nl,wo,xlm-roberta-base,ft,39.64139122920717
181,token-classification,udpos28,43b3553f,nl,bg,xlm-roberta-base,ft,88.88959552276773
182,token-classification,udpos28,43b3553f,nl,aqz,xlm-roberta-base,ft,40.102827763496144
183,token-classification,udpos28,43b3553f,nl,mpu,xlm-roberta-base,ft,26.027397260273972
184,token-classification,udpos28,43b3553f,nl,xnr,xlm-roberta-base,ft,49.52267303102625
185,token-classification,udpos28,43b3553f,nl,br,xlm-roberta-base,ft,65.31096692514639
186,token-classification,udpos28,43b3553f,nl,te,xlm-roberta-base,ft,82.6629680998613
