,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
100,token-classification,udpos28,3822decc,en,gd,xlm-roberta-base,ft,54.6990171990172
101,token-classification,udpos28,3822decc,en,kfm,xlm-roberta-base,ft,40.54054054054054
102,token-classification,udpos28,3822decc,en,he,xlm-roberta-base,ft,92.70833333333334
103,token-classification,udpos28,3822decc,en,ug,xlm-roberta-base,ft,76.60776659132937
104,token-classification,udpos28,3822decc,en,ckt,xlm-roberta-base,ft,33.55799929052856
105,token-classification,udpos28,3822decc,nl,en,xlm-roberta-base,ft,75.3443235983462
106,token-classification,udpos28,3822decc,nl,nl,xlm-roberta-base,ft,97.59004237288136
107,token-classification,udpos28,3822decc,nl,de,xlm-roberta-base,ft,88.69947280422575
108,token-classification,udpos28,3822decc,nl,it,xlm-roberta-base,ft,89.70581357279828
109,token-classification,udpos28,3822decc,nl,fr,xlm-roberta-base,ft,86.7754500473734
110,token-classification,udpos28,3822decc,nl,es,xlm-roberta-base,ft,89.59487296864272
111,token-classification,udpos28,3822decc,nl,ru,xlm-roberta-base,ft,88.26702324890344
112,token-classification,udpos28,3822decc,nl,sv,xlm-roberta-base,ft,90.28601788718676
113,token-classification,udpos28,3822decc,nl,no,xlm-roberta-base,ft,87.17176862872226
114,token-classification,udpos28,3822decc,nl,da,xlm-roberta-base,ft,88.86560909907213
115,token-classification,udpos28,3822decc,nl,nds,xlm-roberta-base,ft,50.2247191011236
116,token-classification,udpos28,3822decc,nl,akk,xlm-roberta-base,ft,24.68870099923136
117,token-classification,udpos28,3822decc,nl,hy,xlm-roberta-base,ft,85.51592051711755
118,token-classification,udpos28,3822decc,nl,cy,xlm-roberta-base,ft,69.41345234300287
119,token-classification,udpos28,3822decc,nl,orv,xlm-roberta-base,ft,64.16726541169709
120,token-classification,udpos28,3822decc,nl,sq,xlm-roberta-base,ft,74.83731019522777
121,token-classification,udpos28,3822decc,nl,sl,xlm-roberta-base,ft,76.42370911505894
122,token-classification,udpos28,3822decc,nl,gub,xlm-roberta-base,ft,19.205298013245034
123,token-classification,udpos28,3822decc,nl,kmr,xlm-roberta-base,ft,74.78680430879713
124,token-classification,udpos28,3822decc,nl,tr,xlm-roberta-base,ft,76.65254237288136
125,token-classification,udpos28,3822decc,nl,fi,xlm-roberta-base,ft,85.36209337201642
126,token-classification,udpos28,3822decc,nl,id,xlm-roberta-base,ft,84.85194386624588
127,token-classification,udpos28,3822decc,nl,uk,xlm-roberta-base,ft,84.74060194402155
128,token-classification,udpos28,3822decc,nl,pl,xlm-roberta-base,ft,85.73361271056409
