ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
PARE_PNG,PARE_PNG,pare1271,Pare,ppt,Papunesia,-6.42,141.75,Kamula-Elevala,AP.AWIN-PARE,"Trans-NewGuinea,Awin-Pare","Kamula-Elevala,Elevala",False,False,,,ppt,Matthew S. Dryer
PARE_SUD,PARE_SUD,asut1235,Asu (Tanzania),asa,Africa,-4.0,36.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Shambala(G.22)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Pare-Taveta",False,False,,pre,asa,Ann-Katrin Wett
PARE_TANZANIA,PARE_TANZANIA,asut1235,Asu (Tanzania),asa,Africa,-4.0,36.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Shambala(G.22)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Pare-Taveta",False,False,,pre,asa,Søren Wichmann
PARGAM_NISAR_KHOWAR,PARGAM_NISAR_KHOWAR,khow1242,Khowar,khw,Eurasia,36.28,72.52,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Chitral","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanNorthwesternzone,Chitral",False,False,,khw,khw,
PARI,PARI,pari1256,Päri,lkr,Africa,5.0,32.5,Nilotic,ESu.NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Western,Luo,Northern,Unclassified","Nilotic,WesternNilotic,Luo-Burun,NorthernLwoo",False,False,,par,lkr,Ann-Katrin Wett
PARIMANKUTINMA,PARIMANKUTINMA,mbar1253,Rimanggudhinma,zmv,Australia,-14.5,143.93,Pama-Nyungan,PN.NORTHERN_PAMA-NYUNGAN,"Australian,Pama-Nyungan,Paman,Mbariman","Pama-Nyungan,Paman,Lamalamic",True,False,2005,,zmv,Viveka Velupillai
PARINTINTIN,PARINTINTIN,tenh1241,Tenharim-Parintintin-Diahoi,pah,South America,-8.0,-62.0,Tupian,Tup.TUPI-GUARANI,"Tupian,Tupi-Guarani,Kawahib,Parintintin","Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupVI",False,False,,,pah,Viveka Velupillai
PARJI,PARJI,duru1236,Duruwa,pci,Eurasia,19.5,82.5,Dravidian,Dra.CENTRAL_DRAVIDIAN,"Dravidian,Central,Parji-Gadaba","Dravidian,CentralDravidian,Parji-Ollari-Gadaba",False,False,,prd,pci,
PARJI_2,PARJI_2,duru1236,Duruwa,pci,Eurasia,19.5,82.5,Dravidian,Dra.CENTRAL_DRAVIDIAN,"Dravidian,Central,Parji-Gadaba","Dravidian,CentralDravidian,Parji-Ollari-Gadaba",False,False,,prd,pci,Tessa de Mol-van Valen
PARJI_3,PARJI_3,duru1236,Duruwa,pci,Eurasia,19.5,82.5,Dravidian,Dra.CENTRAL_DRAVIDIAN,"Dravidian,Central,Parji-Gadaba","Dravidian,CentralDravidian,Parji-Ollari-Gadaba",False,False,,prd,pci,Søren Wichmann
